timestamp,open,high,low,close,volume
2025-08-31 23:00:00,6543.5,6545.5,6543.0,6543.25,16
2025-08-31 23:15:00,6543.25,6543.5,6543.0,6543.25,15
2025-08-31 23:30:00,6543.25,6544.25,6543.0,6544.0,15
2025-08-31 23:45:00,6544.0,6545.25,6543.75,6545.0,15
2025-09-01 00:00:00,6545.0,6545.75,6544.75,6545.0,15
2025-09-01 00:15:00,6545.0,6545.25,6543.0,6543.0,15
2025-09-01 00:30:00,6543.25,6544.75,6542.0,6542.25,16
2025-09-01 00:45:00,6542.25,6542.5,6542.0,6542.25,15
2025-09-01 01:00:00,6542.25,6542.5,6542.0,6542.25,15
2025-09-01 01:15:00,6542.25,6544.0,6542.0,6543.5,18
2025-09-01 01:30:00,6543.5,6543.75,6541.75,6542.5,15
2025-09-01 01:45:00,6542.5,6542.75,6539.5,6540.25,15
2025-09-01 02:00:00,6540.5,6540.5,6532.25,6532.5,15
2025-09-01 02:15:00,6532.0,6533.25,6531.5,6532.0,17
2025-09-01 02:30:00,6532.0,6533.25,6531.75,6532.0,17
2025-09-01 02:45:00,6532.0,6532.25,6529.25,6529.5,15
2025-09-01 03:00:00,6529.5,6535.0,6528.5,6534.5,26
2025-09-01 03:15:00,6534.25,6534.5,6524.5,6525.0,18
2025-09-01 03:30:00,6525.25,6527.75,6525.0,6527.5,15
2025-09-01 03:45:00,6527.5,6528.25,6527.25,6527.5,17
2025-09-01 04:00:00,6527.5,6528.0,6526.25,6526.75,16
2025-09-01 04:15:00,6526.5,6527.0,6524.25,6524.5,15
2025-09-01 04:30:00,6522.5,6524.5,6521.5,6524.25,22
2025-09-01 04:45:00,6524.5,6527.5,6524.25,6525.5,16
2025-09-01 05:00:00,6525.25,6525.5,6521.0,6521.5,15
2025-09-01 05:15:00,6521.5,6525.0,6521.5,6524.75,16
2025-09-01 05:30:00,6524.0,6525.5,6523.75,6524.0,15
2025-09-01 05:45:00,6523.75,6524.0,6522.5,6522.75,15
2025-09-01 06:00:00,6522.5,6522.75,6517.25,6517.5,38
2025-09-01 06:15:00,6517.0,6519.0,6515.25,6515.25,15
2025-09-01 06:30:00,6517.75,6528.25,6517.5,6528.25,19
2025-09-01 06:45:00,6528.0,6528.75,6527.75,6528.5,15
2025-09-01 07:00:00,6528.75,6529.5,6526.5,6526.75,16
2025-09-01 07:15:00,6526.75,6532.75,6525.75,6532.5,15
2025-09-01 07:30:00,6533.0,6533.25,6531.75,6532.25,22
2025-09-01 07:45:00,6532.25,6533.5,6532.0,6533.25,15
2025-09-01 08:00:00,6533.25,6534.75,6532.5,6533.0,19
2025-09-01 08:15:00,6533.25,6538.0,6532.25,6537.75,17
2025-09-01 08:30:00,6537.75,6541.5,6537.5,6541.0,497
2025-09-01 08:45:00,6540.75,6541.5,6539.25,6539.5,2002
2025-09-01 09:00:00,6539.5,6539.75,6538.0,6538.5,1710
2025-09-01 09:15:00,6538.25,6538.5,6536.75,6537.0,1929
2025-09-01 09:30:00,6537.0,6537.75,6536.25,6537.0,1579
2025-09-01 09:45:00,6537.0,6537.25,6534.5,6535.25,21
2025-09-01 10:00:00,6535.25,6536.25,6535.0,6536.0,16
2025-09-01 10:15:00,6536.0,6536.25,6534.0,6534.0,15
2025-09-01 10:30:00,6534.0,6538.0,6533.5,6536.0,15
2025-09-01 10:45:00,6535.25,6535.5,6533.5,6533.75,15
2025-09-01 11:00:00,6533.75,6534.0,6532.5,6532.75,15
2025-09-01 11:15:00,6533.0,6533.75,6528.75,6529.0,15
2025-09-01 11:30:00,6529.0,6529.25,6526.75,6528.0,15
2025-09-01 11:45:00,6528.25,6529.25,6528.0,6529.0,15
2025-09-01 12:00:00,6529.0,6529.75,6528.75,6529.5,15
2025-09-01 12:15:00,6529.5,6530.25,6529.25,6530.0,15
2025-09-01 12:30:00,6530.0,6531.75,6528.25,6528.5,15
2025-09-01 12:45:00,6528.5,6529.5,6527.25,6529.25,15
2025-09-01 13:00:00,6529.25,6530.75,6529.0,6530.25,15
2025-09-01 13:15:00,6530.25,6531.25,6528.0,6528.25,21
2025-09-01 13:30:00,6527.5,6532.25,6525.0,6532.0,18
2025-09-01 13:45:00,6532.25,6533.75,6532.0,6533.5,15
2025-09-01 14:00:00,6533.5,6534.75,6533.25,6534.5,15
2025-09-01 14:15:00,6534.75,6536.0,6534.5,6535.75,15
2025-09-01 14:30:00,6536.0,6536.5,6535.75,6536.25,19
2025-09-01 14:45:00,6536.25,6537.0,6536.0,6536.5,15
2025-09-01 15:00:00,6536.5,6536.75,6535.0,6535.75,15
2025-09-01 15:15:00,6535.75,6538.25,6535.5,6538.25,19
2025-09-01 15:30:00,6538.25,6540.5,6538.0,6540.25,19
2025-09-01 15:45:00,6540.0,6540.25,6538.25,6538.5,15
2025-09-01 16:00:00,6538.5,6538.75,6536.5,6536.75,15
