entry_time,exit_time,side,contracts,entry_price,exit_price,pnl,exit_reason,duration_min,confidence,partial_exits,r_multiple
2025-11-05 01:06:00,2025-11-05 01:14:00,long,2,6764.5,6768.5,354.5,profit_drawdown,8.0,0.5881745987361904,0,0.45454545454545453
2025-11-05 16:51:00,2025-11-05 17:10:00,short,1,6844.5,6840.75,158.5,profit_drawdown,19.0,0.09746312663021249,0,0.4375
2025-11-06 01:29:00,2025-11-06 02:04:00,long,1,6808.0,6811.0,121.0,profit_drawdown,35.0,0.05176401827028846,0,0.39285714285714285
2025-11-06 11:22:00,2025-11-06 11:24:00,short,1,6830.75,6829.25,46.0,profit_drawdown,2.0,0.04775321031576277,0,0.29411764705882354
2025-11-07 00:39:00,2025-11-07 00:54:00,short,1,6770.0,6771.0,-79.0,underwater_timeout,15.0,0.047668023671398385,0,-0.25
2025-11-07 01:37:00,2025-11-07 01:40:00,long,1,6746.0,6751.0,221.0,profit_drawdown,3.0,0.04815624306133757,0,0.4418604651162791
2025-11-07 03:47:00,2025-11-07 03:50:00,long,1,6744.0,6744.25,-16.5,volatility_spike,3.0,0.056094468766669896,0,0.0
2025-11-07 11:17:00,2025-11-07 11:22:00,long,1,6723.25,6727.25,171.0,profit_drawdown,5.0,0.1281893222560981,0,0.375
2025-11-07 12:50:00,2025-11-07 13:27:00,long,1,6715.25,6719.0,158.5,profit_drawdown,37.0,0.10426096779380783,0,0.3783783783783784
2025-11-07 15:47:00,2025-11-07 16:02:00,long,1,6686.5,6678.5,-429.0,underwater_timeout,15.0,0.06637349187062556,0,-0.44594594594594594
2025-11-07 19:42:00,2025-11-07 19:57:00,short,2,6735.75,6738.75,-345.5,underwater_timeout,15.0,0.46405739230712856,0,-0.23214285714285715
2025-11-10 00:54:00,2025-11-10 01:08:00,short,1,6796.5,6795.0,46.0,profit_drawdown,14.0,0.46405739230712856,0,0.23809523809523808
2025-11-10 01:46:00,2025-11-10 02:01:00,short,2,6798.5,6798.75,-70.5,underwater_timeout,15.0,0.46405739230712856,0,-0.13333333333333333
2025-11-10 02:36:00,2025-11-10 02:40:00,short,2,6803.0,6802.0,54.5,profit_drawdown,4.0,0.46405739230712856,0,0.25
2025-11-10 03:12:00,2025-11-10 03:15:00,short,1,6803.0,6801.5,46.0,profit_drawdown,3.0,0.46405739230712856,0,0.38461538461538464
2025-11-10 05:07:00,2025-11-10 05:13:00,long,2,6776.25,6779.75,304.5,profit_drawdown,6.0,0.46405739230712856,0,0.30952380952380953
2025-11-10 11:51:00,2025-11-10 12:41:00,short,1,6805.25,6803.75,46.0,profit_drawdown,50.0,0.05305265741122435,0,0.35714285714285715
2025-11-11 18:29:00,2025-11-11 18:30:00,long,1,6837.75,6840.5,108.5,volatility_spike,1.0,0.05279156360757685,0,0.4166666666666667
2025-11-12 07:16:00,2025-11-12 07:20:00,short,1,6888.75,6887.75,21.0,profit_drawdown,4.0,0.047865283391933335,0,0.2727272727272727
2025-11-12 10:40:00,2025-11-12 10:43:00,short,1,6884.75,6886.75,-129.0,sideways_market_exit,3.0,0.04822419423706927,0,-1.0
2025-11-12 11:13:00,2025-11-12 11:28:00,short,1,6887.0,6889.25,-141.5,sideways_market_exit,15.0,0.05480376863918152,0,-1.25
2025-11-12 12:34:00,2025-11-12 12:46:00,short,2,6895.75,6895.25,4.5,profit_drawdown,12.0,0.46405739230712856,0,0.1
2025-11-12 16:49:00,2025-11-12 16:53:00,long,2,6855.75,6859.25,304.5,adverse_momentum,4.0,0.46405739230712856,0,0.2765957446808511
2025-11-13 00:10:00,2025-11-13 00:30:00,short,1,6867.5,6865.5,71.0,profit_drawdown,20.0,0.21389043383451062,0,0.2916666666666667
2025-11-13 01:12:00,2025-11-13 01:38:00,short,2,6884.25,6885.25,-145.5,underwater_timeout,26.0,0.43770944713341836,0,-0.10204081632653061
2025-11-13 06:36:00,2025-11-13 06:51:00,short,1,6890.25,6891.0,-66.5,underwater_timeout,15.0,0.4340208646812241,0,-0.36363636363636365
2025-11-13 14:42:00,2025-11-13 15:01:00,long,1,6829.0,6828.5,-54.0,underwater_timeout,19.0,0.34658706508827725,0,-0.041666666666666664
2025-11-13 15:55:00,2025-11-13 16:01:00,long,2,6798.25,6804.75,604.5,profit_drawdown,6.0,0.46405739230712856,0,0.43103448275862066
2025-11-14 01:30:00,2025-11-14 01:31:00,long,1,6769.0,6769.5,-4.0,volatility_spike,1.0,0.07027323162870322,0,0.045454545454545456
2025-11-14 01:48:00,2025-11-14 01:50:00,long,1,6767.0,6768.75,58.5,volatility_spike,2.0,0.12019180920446654,0,0.2608695652173913
2025-11-14 07:12:00,2025-11-14 07:18:00,long,1,6743.25,6734.5,-466.5,sideways_market_exit,6.0,0.05012802772413648,0,-0.8780487804878049
2025-11-14 07:19:00,2025-11-14 07:27:00,long,1,6735.0,6736.75,58.5,adverse_momentum,8.0,0.3669535979574133,0,0.11764705882352941
2025-11-14 11:08:00,2025-11-14 11:12:00,long,1,6728.5,6720.5,-429.0,sideways_market_exit,4.0,0.13144510181853103,0,-0.9705882352941176
2025-11-14 11:13:00,2025-11-14 11:28:00,long,2,6721.25,6715.25,-645.5,underwater_timeout,15.0,0.46405739230712856,0,-0.6756756756756757
